lead_id,email,phone,source,status,created_at,city,score,notes
5032,gfimwt@empresa.co,3878365732,facebook,Contacted,2025/10/09,Barranquilla,86.0,
5033,lcuxsw@gmail.com,3798097434,Referral,Contacted,32/13/2025,Bogotá,107.0,
5034,usyxqk@empresa.co,3319132488,Referral,won,03/06/2025,Cartagena,102.0,
5035,bfijjk@gmail.com,3131108692,facebook,won,2025/06/05,bogota,26.0,
5036,mtpwih@mail.com,3202088101,facebook,lost,2025-08-30,Medellín,4.0,
5037,cygqrm@gmail.com,3110692073,Google Ads,Contacted,2025/07/31,bogota,99.0,
5038,pzjypb@mail.com,3137793535,Referral,new,2025/11/11,bogota,67.0,
5039,necgle@example.com,3851933156,FACEBOOK,won,17/11/2025,bogota,44.0,
5040,aubfpy@mail.com,3120655337,Referral,contacted,2025/07/06,Cartagena,19.0,
5041,blegws@example.com,3851334648,web,lost,2025-10-22,Cali,26.0,
5042,aybxau@mail.com,3517661520,Referral,lost,13/11/2025,Cali,14.0,
5043,eycmvy@example.com,3163576877,facebook,contacted,2025-11-22,Cali,13.0,
5044,aixpbm@gmail.com,3400451244,google ads ,WON,2025/06/29,bogota,81.0,
5045,vdvxri@empresa.co,3050106689,web,NEW ,2025/06/11,Cartagena,87.0,
5046,fynlhq@gmail.com,3002308772,google ads ,new,19/08/2025,bogota,14.0,
5047,uqmkdx@empresa.co,3319156494,Google Ads,NEW ,10/10/2025,Medellín,52.0,
5048,nioecrgmail.com,3846007560,Google Ads,WON,2025/10/28,Bogotá,109.0,
5049,trehjy@empresa.co,3394221605,Referral,contacted,22/10/2025,Barranquilla,79.0,
5050,xeqkis@mail.com,32585382,facebook,won,2025-10-12,Cartagena,,
5051,rxiufe@gmail.com,3751246167,Google Ads,contacted,32/13/2025,Bogotá,84.0,
5052,dhrxxt@example.com,3545966981,FACEBOOK,NEW ,2025/10/01,Bogotá,33.0,
5053,qsznklempresa.co,3539239997,Referral,WON,01/10/2025,Barranquilla,19.0,
5054,yiiwos@mail.com,3812981084,Referral,won,2025/11/30, medellin ,34.0,
5055,vatztg@gmail.com,3626227603,Referral,NEW ,07/10/2025,Cali,33.0,
5056,gjkhfr@gmail.com,35709781,Google Ads,new,07/08/2025,bogota,14.0,
5057,vsupdc@mail.com,3286475037,Google Ads,new,24/08/2025,Cartagena,96.0,
5058,yqbydp@gmail.com,3884849058,Referral,new,2025/10/21,Cartagena,19.0,
5059,nognhr@gmail.com,3023767609,google ads ,new,2025/06/20,bogota,13.0,
5060,zhlelf@example.com,3763089857,Referral,NEW ,2025/11/14,bogota,103.0,
5061,,3267411236,facebook,WON,2025-06-20,Bogotá,33.0,
5062,nnbfac@mail.com,3098830644,facebook,Contacted,12/11/2025,Bogotá,2.0,
5063,dgvool@gmail.com,3394481517,web,contacted,2025/08/05,Bogotá,55.0,
5064,smijkf@empresa.co,3208379341,FACEBOOK,new,2025-08-07,Bogotá,19.0,
5065,bkszwd@gmail.com,3653539824,Google Ads,WON,2025/12/08, medellin ,96.0,
5066,qfmryh@mail.com,3734725129,Referral,Contacted,2025/08/14,Barranquilla,,
5067,ypjmqg@mail.com,3418656086,Referral,lost,02/07/2025,bogota,29.0,
5068,eiloqrgmail.com,3066079210,web,WON,02/11/2025,bogota,18.0,
5069,cmvmvy@mail.com,3474115070,web,won,2025-10-14,Bogotá,98.0,
5070,ccknec@example.com,3180291134,Google Ads,contacted,12/06/2025,Cali,37.0,
5071,gkfuxa@gmail.com,3753156752,facebook,lost,02/10/2025,Medellín,21.0,
5072,wcvrndgmail.com,3401264963,Referral,WON,18/06/2025, medellin ,88.0,
5073,uzimnm@mail.com,3970884727,FACEBOOK,NEW ,2025-09-03,Cartagena,35.0,
5074,zcuwap@empresa.co,3439691593,Referral,won,2025/12/03, medellin ,80.0,
5075,khlzoj@mail.com,3350424740,web,WON,2025-08-09,Cali,58.0,
5076,cnszkw@example.com,3758173301,FACEBOOK,lost,2025/11/13, medellin ,19.0,
5077,pzbryw@mail.com,39213225,web,NEW ,2025/06/08,Cartagena,,
5078,oitdwg@mail.com,3452174091,facebook,WON,2025/08/06, medellin ,108.0,
5079,jbhrel@gmail.com,3214858659,web,new,2025/12/10,bogota,93.0,
5080,ezwpjd@example.com,3505343803,Referral,NEW ,2025/12/14,Cartagena,100.0,
5081,,3068902162,Google Ads,Contacted,2025-11-22,Medellín,103.0,
5082,nlrpeq@empresa.co,37905075,web,NEW ,2025/09/01,Barranquilla,102.0,
5083,foemie@example.com,3198748246,Referral,won,2025-12-12,Medellín,64.0,
5084,qwqjldmail.com,3204467755,web,lost,09/12/2025,Medellín,22.0,
5085,snxkbi@gmail.com,39116066,facebook,new,2025/11/14,Bogotá,79.0,
5086,nwoskumail.com,3172149529,google ads ,Contacted,08/07/2025,Cali,21.0,
5087,,3619110705,google ads ,NEW ,2025/06/26,bogota,33.0,
5088,ozxfzl@empresa.co,3456657232,Referral,contacted,2025-08-12,Cali,12.0,
5089,couslf@gmail.com,3086761576,facebook,WON,2025-07-12, medellin ,90.0,
5058,yqbydp@gmail.com,3884849058,Referral,new,2025/10/21,Cartagena,19.0,
5078,oitdwg@mail.com,3452174091,facebook,WON,2025/08/06, medellin ,108.0,
5043,eycmvy@example.com,3163576877,facebook,contacted,2025-11-22,Cali,13.0,
5055,vatztg@gmail.com,3626227603,Referral,NEW ,07/10/2025,Cali,33.0,
